game_id,team,plays,epa,success,passPlays,passEPA,rushPlays,rushEPA,neutralPlays,neutralEPA,turnovers
2025_11_DET_PHI,PHI,71,-13.573891682158974,27.0,34.0,-7.977866397168073,37.0,-5.596025284990901,55,-7.741318283036636,0.0
2025_11_GB_NYG,GB,55,19.29367566264421,26.0,32.0,14.283168523674366,23.0,5.010507138969842,52,19.542076684287284,0.0
2025_11_GB_NYG,NYG,71,9.677453707088716,33.0,33.0,6.790893111465266,38.0,2.8865605956234504,70,9.774719457200263,2.0
2025_11_HOU_TEN,HOU,70,-4.606463207305505,29.0,48.0,0.6186151519948515,22.0,-5.2250783593003565,69,-3.750359931868597,0.0
2025_11_HOU_TEN,TEN,59,-5.677192191029687,22.0,45.0,1.2762144263425932,14.0,-6.953406617372281,59,-5.677192191029687,1.0
2025_11_KC_DEN,DEN,61,0.9242789657541652,27.0,41.0,4.7089519549149195,20.0,-3.784672989160754,61,0.9242789657541652,0.0
2025_11_KC_DEN,KC,70,8.300768820582357,30.0,56.0,7.41499472276953,14.0,0.8857740978128277,70,8.300768820582357,1.0
2025_11_LAC_JAX,JAX,71,9.719171478849603,38.0,26.0,5.527120888029458,45.0,4.192050590820145,36,5.920757636980852,1.0
2025_11_LAC_JAX,LAC,48,-22.5890232603579,16.0,35.0,-20.254123368957192,13.0,-2.3348998914007097,31,-5.7696716936934935,1.0
2025_11_NYJ_NE,NE,64,8.8608969941295,31.0,40.0,11.622679552490004,24.0,-2.761782558360504,53,14.97346573664754,0.0
2025_11_NYJ_NE,NYJ,57,-4.850551057723351,27.0,33.0,-3.219329052953981,24.0,-1.63122200476937,43,3.461112709948793,1.0
2025_11_SEA_LA,LA,51,-9.894540574226994,19.0,28.0,-9.462158085603733,23.0,-0.43238248862326145,44,-4.044049566669855,1.0
2025_11_SEA_LA,SEA,84,-15.954540177769108,39.0,48.0,-12.133117234243858,36.0,-3.821422943525249,78,-17.129418030145192,4.0
2025_11_SF_ARI,ARI,79,-1.9463027822131043,37.0,60.0,4.019240552988579,19.0,-5.9655433352016844,40,-1.788411194713576,3.0
